timestamp,hour,temperature_c,occupancy_factor,baseline_setpoint_c,optimized_setpoint_c,baseline_load_kw,optimized_load_kw
2024-07-01 00:00:00,0,36.62,0.15,23.0,23.0,6.6,6.6
2024-07-01 01:00:00,1,34.94,0.15,23.0,23.0,5.7,5.7
2024-07-01 02:00:00,2,33.55,0.15,23.0,23.0,5.01,5.01
2024-07-01 03:00:00,3,32.35,0.15,23.0,23.0,4.4,4.4
2024-07-01 04:00:00,4,33.46,0.15,23.0,23.0,5.0,5.0
2024-07-01 05:00:00,5,33.58,0.15,23.0,23.0,5.07,5.07
2024-07-01 06:00:00,6,31.68,0.15,23.0,23.0,4.15,4.15
2024-07-01 07:00:00,7,32.54,0.15,23.0,23.0,4.67,4.67
2024-07-01 08:00:00,8,33.48,0.9,23.0,23.0,7.54,7.54
2024-07-01 09:00:00,9,34.45,0.9,23.0,23.0,8.39,8.39
2024-07-01 10:00:00,10,35.15,0.9,23.0,23.0,8.94,8.94
2024-07-01 11:00:00,11,37.11,0.9,23.0,23.0,10.34,10.34
2024-07-01 12:00:00,12,38.25,0.9,23.0,23.0,11.02,11.02
2024-07-01 13:00:00,13,39.14,0.9,23.0,23.0,11.94,11.94
2024-07-01 14:00:00,14,39.51,0.9,23.0,23.0,12.01,12.01
2024-07-01 15:00:00,15,40.33,0.9,23.0,23.0,12.5,12.5
2024-07-01 16:00:00,16,38.61,0.9,23.0,23.0,10.87,10.87
2024-07-01 17:00:00,17,41.18,0.9,23.0,23.0,12.93,12.93
2024-07-01 18:00:00,18,39.35,0.15,23.0,23.0,8.88,8.88
2024-07-01 19:00:00,19,39.5,0.15,23.0,23.0,9.08,9.08
2024-07-01 20:00:00,20,38.17,0.15,23.0,23.0,8.03,8.03
2024-07-01 21:00:00,21,38.51,0.15,23.0,23.0,8.33,8.33
2024-07-01 22:00:00,22,39.04,0.15,23.0,23.0,8.72,8.72
2024-07-01 23:00:00,23,37.49,0.15,23.0,23.0,7.59,7.59
2024-07-02 00:00:00,0,37.53,0.15,23.0,23.0,7.16,7.16
2024-07-02 01:00:00,1,35.9,0.15,23.0,23.0,6.27,6.27
2024-07-02 02:00:00,2,35.76,0.15,23.0,23.0,6.3,6.3
2024-07-02 03:00:00,3,35.06,0.15,23.0,23.0,5.94,5.94
2024-07-02 04:00:00,4,36.11,0.15,23.0,23.0,6.56,6.56
2024-07-02 05:00:00,5,35.76,0.15,23.0,23.0,6.41,6.41
2024-07-02 06:00:00,6,35.07,0.15,23.0,23.0,5.98,5.98
2024-07-02 07:00:00,7,36.22,0.15,23.0,23.0,6.64,6.64
2024-07-02 08:00:00,8,37.06,0.9,23.0,23.0,9.68,9.68
2024-07-02 09:00:00,9,37.91,0.9,23.0,23.0,10.71,10.71
2024-07-02 10:00:00,10,39.05,0.9,23.0,23.0,11.78,11.78
2024-07-02 11:00:00,11,40.07,0.9,23.0,23.0,12.72,12.72
2024-07-02 12:00:00,12,41.08,0.9,23.0,23.0,13.67,13.67
2024-07-02 13:00:00,13,41.34,0.9,23.0,23.0,13.86,13.86
2024-07-02 14:00:00,14,41.48,0.9,23.0,23.0,13.88,13.88
2024-07-02 15:00:00,15,41.65,0.9,23.0,23.0,13.75,13.75
2024-07-02 16:00:00,16,41.63,0.9,23.0,23.0,13.35,13.35
2024-07-02 17:00:00,17,41.34,0.9,23.0,23.0,13.24,13.24
2024-07-02 18:00:00,18,41.33,0.15,23.0,23.0,10.69,10.69
2024-07-02 19:00:00,19,40.75,0.15,23.0,23.0,10.02,10.02
2024-07-02 20:00:00,20,40.36,0.15,23.0,23.0,9.92,9.92
2024-07-02 21:00:00,21,39.52,0.15,23.0,23.0,9.23,9.23
2024-07-02 22:00:00,22,38.59,0.15,23.0,23.0,8.48,8.48
2024-07-02 23:00:00,23,38.07,0.15,23.0,23.0,8.09,8.09
2024-07-03 00:00:00,0,37.78,0.15,23.0,23.0,7.35,7.35
2024-07-03 01:00:00,1,36.95,0.15,23.0,23.0,6.94,6.94
2024-07-03 02:00:00,2,35.82,0.15,23.0,23.0,6.31,6.31
2024-07-03 03:00:00,3,35.97,0.15,23.0,23.0,6.47,6.47
2024-07-03 04:00:00,4,35.9,0.15,23.0,23.0,6.49,6.49
2024-07-03 05:00:00,5,34.69,0.15,23.0,23.0,5.83,5.83
2024-07-03 06:00:00,6,36.15,0.15,23.0,23.0,6.65,6.65
2024-07-03 07:00:00,7,36.31,0.15,23.0,23.0,6.78,6.78
2024-07-03 08:00:00,8,36.94,0.9,23.0,23.0,9.62,9.62
2024-07-03 09:00:00,9,38.34,0.9,23.0,23.0,11.0,11.0
2024-07-03 10:00:00,10,39.08,0.9,23.0,23.0,11.67,11.67
2024-07-03 11:00:00,11,39.36,0.9,23.0,23.0,12.06,12.06
2024-07-03 12:00:00,12,40.2,0.9,23.0,23.0,12.95,12.95
2024-07-03 13:00:00,13,40.91,0.9,23.0,23.0,13.36,13.36
2024-07-03 14:00:00,14,41.11,0.9,23.0,23.0,13.49,13.49
2024-07-03 15:00:00,15,41.53,0.9,23.0,23.0,13.63,13.63
2024-07-03 16:00:00,16,41.64,0.9,23.0,23.0,13.38,13.38
2024-07-03 17:00:00,17,41.62,0.9,23.0,23.0,13.35,13.35
2024-07-03 18:00:00,18,41.56,0.15,23.0,23.0,10.94,10.94
2024-07-03 19:00:00,19,40.9,0.15,23.0,23.0,10.35,10.35
2024-07-03 20:00:00,20,40.04,0.15,23.0,23.0,9.63,9.63
2024-07-03 21:00:00,21,39.13,0.15,23.0,23.0,8.89,8.89
2024-07-03 22:00:00,22,39.41,0.15,23.0,23.0,9.05,9.05
2024-07-03 23:00:00,23,38.27,0.15,23.0,23.0,8.34,8.34
2024-07-04 00:00:00,0,37.56,0.15,23.0,23.0,7.17,7.17
2024-07-04 01:00:00,1,36.2,0.15,23.0,23.0,6.47,6.47
2024-07-04 02:00:00,2,35.43,0.15,23.0,23.0,6.08,6.08
2024-07-04 03:00:00,3,35.01,0.15,23.0,23.0,5.81,5.81
2024-07-04 04:00:00,4,35.3,0.15,23.0,23.0,6.09,6.09
2024-07-04 05:00:00,5,34.84,0.15,23.0,23.0,5.84,5.84
2024-07-04 06:00:00,6,33.88,0.15,23.0,23.0,5.37,5.37
2024-07-04 07:00:00,7,34.61,0.15,23.0,23.0,5.74,5.74
2024-07-04 08:00:00,8,35.88,0.9,23.0,23.0,8.92,8.92
2024-07-04 09:00:00,9,37.52,0.9,23.0,23.0,10.19,10.19
2024-07-04 10:00:00,10,38.6,0.9,23.0,23.0,11.38,11.38
2024-07-04 11:00:00,11,39.49,0.9,23.0,23.0,12.09,12.09
2024-07-04 12:00:00,12,40.15,0.9,23.0,23.0,12.92,12.92
2024-07-04 13:00:00,13,40.67,0.9,23.0,23.0,13.21,13.21
2024-07-04 14:00:00,14,41.17,0.9,23.0,23.0,13.48,13.48
2024-07-04 15:00:00,15,41.25,0.9,23.0,23.0,13.45,13.45
2024-07-04 16:00:00,16,41.39,0.9,23.0,23.0,13.21,13.21
2024-07-04 17:00:00,17,41.5,0.9,23.0,23.0,13.32,13.32
2024-07-04 18:00:00,18,41.35,0.15,23.0,23.0,10.74,10.74
2024-07-04 19:00:00,19,40.79,0.15,23.0,23.0,10.32,10.32
2024-07-04 20:00:00,20,39.97,0.15,23.0,23.0,9.58,9.58
2024-07-04 21:00:00,21,38.99,0.15,23.0,23.0,8.76,8.76
2024-07-04 22:00:00,22,39.47,0.15,23.0,23.0,9.07,9.07
2024-07-04 23:00:00,23,38.76,0.15,23.0,23.0,8.6,8.6
2024-07-05 00:00:00,0,37.52,0.15,23.0,23.0,7.13,7.13
2024-07-05 01:00:00,1,36.43,0.15,23.0,23.0,6.66,6.66
2024-07-05 02:00:00,2,35.52,0.15,23.0,23.0,6.13,6.13
2024-07-05 03:00:00,3,34.91,0.15,23.0,23.0,5.8,5.8
2024-07-05 04:00:00,4,35.83,0.15,23.0,23.0,6.42,6.42
2024-07-05 05:00:00,5,35.41,0.15,23.0,23.0,6.14,6.14
2024-07-05 06:00:00,6,34.64,0.15,23.0,23.0,5.74,5.74
2024-07-05 07:00:00,7,36.02,0.15,23.0,23.0,6.5,6.5
2024-07-05 08:00:00,8,37.09,0.9,23.0,23.0,9.68,9.68
2024-07-05 09:00:00,9,38.49,0.9,23.0,23.0,11.04,11.04
