timestamp,temperature_c,humidity_pct,ghi_wm2,hour,day_of_week,is_weekend,occupancy_factor,comfort_setpoint_c,hvac_load_kw
2024-07-01 00:00:00,36.62,34.9,0.0,0,0,0,0.15,23.0,31.63
2024-07-01 01:00:00,34.94,41.5,0.0,1,0,0,0.15,23.0,29.65
2024-07-01 02:00:00,33.55,42.3,0.0,2,0,0,0.15,23.0,27.99
2024-07-01 03:00:00,32.35,45.2,0.0,3,0,0,0.15,23.0,26.56
2024-07-01 04:00:00,33.46,46.3,0.0,4,0,0,0.15,23.0,27.91
2024-07-01 05:00:00,33.58,40.9,0.0,5,0,0,0.15,23.0,28.02
2024-07-01 06:00:00,31.68,60.8,0.0,6,0,0,0.15,23.0,25.84
2024-07-01 07:00:00,32.54,58.1,0.0,7,0,0,0.15,23.0,26.86
2024-07-01 08:00:00,33.48,47.9,0.0,8,0,0,0.9,23.0,28.54
2024-07-01 09:00:00,34.45,43.3,257.47,9,0,0,0.9,23.0,30.45
2024-07-01 10:00:00,35.15,35.9,441.38,10,0,0,0.9,23.0,31.8
2024-07-01 11:00:00,37.11,32.0,551.72,11,0,0,0.9,23.0,34.47
2024-07-01 12:00:00,38.25,29.3,588.5,12,0,0,0.9,23.0,35.93
2024-07-01 13:00:00,39.14,26.2,551.72,13,0,0,0.9,23.0,36.87
2024-07-01 14:00:00,39.51,24.6,441.38,14,0,0,0.9,23.0,36.98
2024-07-01 15:00:00,40.33,23.6,257.47,15,0,0,0.9,23.0,37.41
2024-07-01 16:00:00,38.61,24.5,0.0,16,0,0,0.9,23.0,34.58
2024-07-01 17:00:00,41.18,31.6,0.0,17,0,0,0.9,23.0,37.69
2024-07-01 18:00:00,39.35,39.8,0.0,18,0,0,0.15,23.0,34.94
2024-07-01 19:00:00,39.5,36.7,0.0,19,0,0,0.15,23.0,35.1
2024-07-01 20:00:00,38.17,36.9,0.0,20,0,0,0.15,23.0,33.51
2024-07-01 21:00:00,38.51,38.5,0.0,21,0,0,0.15,23.0,33.93
2024-07-01 22:00:00,39.04,41.1,0.0,22,0,0,0.15,23.0,34.57
2024-07-01 23:00:00,37.49,44.0,0.0,23,0,0,0.15,23.0,32.73
2024-07-02 00:00:00,37.53,46.8,0.0,0,1,0,0.15,23.0,32.79
2024-07-02 01:00:00,35.9,49.1,0.0,1,1,0,0.15,23.0,30.84
2024-07-02 02:00:00,35.76,51.9,0.0,2,1,0,0.15,23.0,30.69
2024-07-02 03:00:00,35.06,52.0,0.0,3,1,0,0.15,23.0,29.85
2024-07-02 04:00:00,36.11,49.5,0.0,4,1,0,0.15,23.0,31.1
2024-07-02 05:00:00,35.76,51.6,0.0,5,1,0,0.15,23.0,30.69
2024-07-02 06:00:00,35.07,57.0,0.0,6,1,0,0.15,23.0,29.89
2024-07-02 07:00:00,36.22,53.4,0.0,7,1,0,0.15,23.0,31.25
2024-07-02 08:00:00,37.06,46.0,0.0,8,1,0,0.9,23.0,32.82
2024-07-02 09:00:00,37.91,34.4,257.21,9,1,0,0.9,23.0,34.56
2024-07-02 10:00:00,39.05,29.3,440.93,10,1,0,0.9,23.0,36.45
2024-07-02 11:00:00,40.07,24.6,551.17,11,1,0,0.9,23.0,37.98
2024-07-02 12:00:00,41.08,21.7,587.91,12,1,0,0.9,23.0,39.29
2024-07-02 13:00:00,41.34,19.3,551.17,13,1,0,0.9,23.0,39.47
2024-07-02 14:00:00,41.48,16.3,440.93,14,1,0,0.9,23.0,39.31
2024-07-02 15:00:00,41.65,14.0,257.21,15,1,0,0.9,23.0,38.94
2024-07-02 16:00:00,41.63,12.2,0.0,16,1,0,0.9,23.0,38.14
2024-07-02 17:00:00,41.34,11.7,0.0,17,1,0,0.9,23.0,37.79
2024-07-02 18:00:00,41.33,12.9,0.0,18,1,0,0.15,23.0,37.18
2024-07-02 19:00:00,40.75,12.7,0.0,19,1,0,0.15,23.0,36.49
2024-07-02 20:00:00,40.36,13.3,0.0,20,1,0,0.15,23.0,36.02
2024-07-02 21:00:00,39.52,14.1,0.0,21,1,0,0.15,23.0,35.02
2024-07-02 22:00:00,38.59,14.9,0.0,22,1,0,0.15,23.0,33.9
2024-07-02 23:00:00,38.07,15.6,0.0,23,1,0,0.15,23.0,33.28
2024-07-03 00:00:00,37.78,18.5,0.0,0,2,0,0.15,23.0,32.95
2024-07-03 01:00:00,36.95,26.4,0.0,1,2,0,0.15,23.0,31.99
2024-07-03 02:00:00,35.82,35.0,0.0,2,2,0,0.15,23.0,30.68
2024-07-03 03:00:00,35.97,42.2,0.0,3,2,0,0.15,23.0,30.9
2024-07-03 04:00:00,35.9,48.4,0.0,4,2,0,0.15,23.0,30.84
2024-07-03 05:00:00,34.69,50.7,0.0,5,2,0,0.15,23.0,29.41
2024-07-03 06:00:00,36.15,35.4,0.0,6,2,0,0.15,23.0,31.08
2024-07-03 07:00:00,36.31,31.0,0.0,7,2,0,0.15,23.0,31.25
2024-07-03 08:00:00,36.94,27.9,0.0,8,2,0,0.9,23.0,32.59
2024-07-03 09:00:00,38.34,23.9,256.94,9,2,0,0.9,23.0,35.02
2024-07-03 10:00:00,39.08,20.8,440.46,10,2,0,0.9,23.0,36.44
2024-07-03 11:00:00,39.36,18.4,550.57,11,2,0,0.9,23.0,37.1
2024-07-03 12:00:00,40.2,16.3,587.28,12,2,0,0.9,23.0,38.21
2024-07-03 13:00:00,40.91,14.6,550.57,13,2,0,0.9,23.0,38.94
2024-07-03 14:00:00,41.11,13.1,440.46,14,2,0,0.9,23.0,38.84
2024-07-03 15:00:00,41.53,11.7,256.94,15,2,0,0.9,23.0,38.78
2024-07-03 16:00:00,41.64,10.7,0.0,16,2,0,0.9,23.0,38.14
2024-07-03 17:00:00,41.62,11.0,0.0,17,2,0,0.9,23.0,38.12
2024-07-03 18:00:00,41.56,12.1,0.0,18,2,0,0.15,23.0,37.45
2024-07-03 19:00:00,40.9,12.5,0.0,19,2,0,0.15,23.0,36.66
2024-07-03 20:00:00,40.04,13.7,0.0,20,2,0,0.15,23.0,35.64
2024-07-03 21:00:00,39.13,13.9,0.0,21,2,0,0.15,23.0,34.55
2024-07-03 22:00:00,39.41,16.9,0.0,22,2,0,0.15,23.0,34.9
2024-07-03 23:00:00,38.27,28.4,0.0,23,2,0,0.15,23.0,33.59
2024-07-04 00:00:00,37.56,33.1,0.0,0,3,0,0.15,23.0,32.76
2024-07-04 01:00:00,36.2,36.3,0.0,1,3,0,0.15,23.0,31.14
2024-07-04 02:00:00,35.43,40.4,0.0,2,3,0,0.15,23.0,30.24
2024-07-04 03:00:00,35.01,43.8,0.0,3,3,0,0.15,23.0,29.75
2024-07-04 04:00:00,35.3,46.2,0.0,4,3,0,0.15,23.0,30.11
2024-07-04 05:00:00,34.84,48.4,0.0,5,3,0,0.15,23.0,29.57
2024-07-04 06:00:00,33.88,43.1,0.0,6,3,0,0.15,23.0,28.4
2024-07-04 07:00:00,34.61,40.5,0.0,7,3,0,0.15,23.0,29.26
2024-07-04 08:00:00,35.88,36.2,0.0,8,3,0,0.9,23.0,31.35
2024-07-04 09:00:00,37.52,31.0,256.64,9,3,0,0.9,23.0,34.07
2024-07-04 10:00:00,38.6,26.9,439.96,10,3,0,0.9,23.0,35.89
2024-07-04 11:00:00,39.49,23.4,549.95,11,3,0,0.9,23.0,37.27
2024-07-04 12:00:00,40.15,20.4,586.61,12,3,0,0.9,23.0,38.16
2024-07-04 13:00:00,40.67,17.8,549.95,13,3,0,0.9,23.0,38.67
2024-07-04 14:00:00,41.17,15.7,439.96,14,3,0,0.9,23.0,38.92
2024-07-04 15:00:00,41.25,14.4,256.64,15,3,0,0.9,23.0,38.46
2024-07-04 16:00:00,41.39,12.9,0.0,16,3,0,0.9,23.0,37.85
2024-07-04 17:00:00,41.5,10.9,0.0,17,3,0,0.9,23.0,37.98
2024-07-04 18:00:00,41.35,11.4,0.0,18,3,0,0.15,23.0,37.19
2024-07-04 19:00:00,40.79,12.1,0.0,19,3,0,0.15,23.0,36.53
2024-07-04 20:00:00,39.97,13.9,0.0,20,3,0,0.15,23.0,35.55
2024-07-04 21:00:00,38.99,14.4,0.0,21,3,0,0.15,23.0,34.39
2024-07-04 22:00:00,39.47,17.5,0.0,22,3,0,0.15,23.0,34.97
2024-07-04 23:00:00,38.76,22.4,0.0,23,3,0,0.15,23.0,34.15
2024-07-05 00:00:00,37.52,24.8,0.0,0,4,0,0.15,23.0,32.66
2024-07-05 01:00:00,36.43,28.6,0.0,1,4,0,0.15,23.0,31.38
2024-07-05 02:00:00,35.52,33.6,0.0,2,4,0,0.15,23.0,30.31
2024-07-05 03:00:00,34.91,36.1,0.0,3,4,0,0.15,23.0,29.59
2024-07-05 04:00:00,35.83,39.5,0.0,4,4,0,0.15,23.0,30.72
2024-07-05 05:00:00,35.41,40.4,0.0,5,4,0,0.15,23.0,30.22
2024-07-05 06:00:00,34.64,39.9,0.0,6,4,0,0.15,23.0,29.29
2024-07-05 07:00:00,36.02,36.2,0.0,7,4,0,0.15,23.0,30.92
2024-07-05 08:00:00,37.09,32.2,0.0,8,4,0,0.9,23.0,32.79
2024-07-05 09:00:00,38.49,27.7,256.34,9,4,0,0.9,23.0,35.22
2024-07-05 10:00:00,39.4,22.9,439.43,10,4,0,0.9,23.0,36.83
2024-07-05 11:00:00,40.35,18.8,549.29,11,4,0,0.9,23.0,38.28
2024-07-05 12:00:00,41.2,13.8,585.91,12,4,0,0.9,23.0,39.39
2024-07-05 13:00:00,41.89,11.1,549.29,13,4,0,0.9,23.0,40.09
2024-07-05 14:00:00,42.32,9.1,439.43,14,4,0,0.9,23.0,40.26
2024-07-05 15:00:00,42.68,8.1,256.34,15,4,0,0.9,23.0,40.15
2024-07-05 16:00:00,42.79,7.0,0.0,16,4,0,0.9,23.0,39.5
2024-07-05 17:00:00,42.7,6.4,0.0,17,4,0,0.9,23.0,39.4
2024-07-05 18:00:00,42.29,4.5,0.0,18,4,0,0.15,23.0,38.3
2024-07-05 19:00:00,41.96,4.6,0.0,19,4,0,0.15,23.0,37.89
2024-07-05 20:00:00,40.13,5.3,0.0,20,4,0,0.15,23.0,35.7
2024-07-05 21:00:00,39.07,6.4,0.0,21,4,0,0.15,23.0,34.44
2024-07-05 22:00:00,38.24,8.2,0.0,22,4,0,0.15,23.0,33.45
2024-07-05 23:00:00,37.57,8.2,0.0,23,4,0,0.15,23.0,32.65
2024-07-06 00:00:00,38.43,10.9,0.0,0,5,1,0.1,23.0,33.64
2024-07-06 01:00:00,37.91,15.1,0.0,1,5,1,0.1,23.0,33.05
2024-07-06 02:00:00,37.33,24.0,0.0,2,5,1,0.1,23.0,32.39
2024-07-06 03:00:00,36.24,28.6,0.0,3,5,1,0.1,23.0,31.12
2024-07-06 04:00:00,35.02,30.6,0.0,4,5,1,0.1,23.0,29.65
2024-07-06 05:00:00,34.41,30.3,0.0,5,5,1,0.1,23.0,28.92
2024-07-06 06:00:00,34.17,35.4,0.0,6,5,1,0.1,23.0,28.67
2024-07-06 07:00:00,35.18,32.3,0.0,7,5,1,0.1,23.0,29.85
2024-07-06 08:00:00,36.22,27.9,0.0,8,5,1,0.1,23.0,31.09
2024-07-06 09:00:00,37.99,24.9,256.01,9,5,1,0.1,23.0,33.97
2024-07-06 10:00:00,39.16,22.3,438.88,10,5,1,0.1,23.0,35.89
2024-07-06 11:00:00,40.18,19.8,548.6,11,5,1,0.1,23.0,37.44
2024-07-06 12:00:00,40.78,17.1,585.17,12,5,1,0.1,23.0,38.26
2024-07-06 13:00:00,41.24,15.1,548.6,13,5,1,0.1,23.0,38.69
2024-07-06 14:00:00,41.47,13.0,438.88,14,5,1,0.1,23.0,38.62
2024-07-06 15:00:00,41.78,11.4,256.01,15,5,1,0.1,23.0,38.44
2024-07-06 16:00:00,41.91,10.5,0.0,16,5,1,0.1,23.0,37.83
